topic number,label,keywords
0,제도 변화 분석 현상 환경 변화 판단,지급결제 제도 분석 변화 인공지능 연구 정책 제시 효율 효과
1,진전 디지털 통화 결제 수단 통화 발행 업무,은행 검토 필요 규제 대응 경제 나라 제도 도입 논의
2,제휴 스마트폰 고객 금융 비즈니스 솔루션,정보 고객 변화 기관 기업 상품 비즈니스 사용 제공 그룹
3,현금 카드 지불 확인 무현금,현금 무현금 카드 은행 수단 이용 지불 비용 전자 사용
4,인터넷 유지 데이터 빅 데이터 세계,데이터 발전 세계 기관 보안 이용 인터넷 네트워크 방법 환경
5,기록 응용 블록체인 활용 자동 기대,블록체인 활용 분야 가능 거래 기관 본고 업계 구조 데이터
6,사법 청구 업자 기술 이용 교환,암호화폐 법 규제 거래 검토 이용 대장 미국 국제 사법
7,지원 시장 산업 소비자 금융 시장,시스템 시장 혁신 산업 영향 기업 제공 투자 소비자 연구
8,발행 중앙은행 디지털 디지털 통화 중앙은행 통화 발행,통화 디지털 발행 중앙은행 국제 결과 각국 운영 자금 법정
9,자금 세탁 세탁 투자자 발생 자금,거래 가상자산 자산 규제 가능 암호 존재 투자자 자금 발생
